median_listing_price,active_listing_count,netinflow
730000.0,81.0,-61.0
779000.0,89.0,-138.0
729000.0,103.0,-163.0
717000.0,117.0,-94.0
754950.0,125.0,-131.0
749000.0,134.0,-213.0
749950.0,121.0,-240.0
755000.0,107.0,-56.0
750000.0,135.0,-100.0
749499.5,167.0,-60.0
749499.5,166.0,-108.0
774900.0,108.0,-139.0
789450.0,94.0,-32.0
799000.0,99.0,-86.0
772814.2857142857,104.0,-138.0
752764.2857142857,108.0,-125.0
749900.0,114.0,-162.0
749900.0,125.0,-150.0
816950.0,111.0,-244.0
792856.7142857143,119.0,-253.0
755356.2142857143,132.0,-258.0
784950.0,132.0,-177.0
759900.0,149.0,-109.0
799900.0,116.0,-100.0
779900.0,90.0,-134.0
749999.0,96.0,-170.0
774450.0,121.0,-282.0
784450.0,122.0,-336.0
779900.0,119.0,-318.0
791950.0,142.0,-251.0
769450.0,165.0,-502.0
749900.0,173.0,-404.0
717500.0,192.0,-382.0
695000.0,232.0,-397.0
699000.0,237.0,-275.0
712400.0,207.0,-184.0
699900.0,163.0,-123.0
692000.0,162.0,-162.0
674500.0,163.0,-194.0
697450.0,152.0,-113.0
699900.0,175.0,-206.0
739000.0,192.0,-206.0
719950.0,178.0,-142.0
727450.0,148.0,-218.0
772000.0,188.0,-212.0
749900.0,213.0,-92.0
725000.0,206.0,-210.0
714900.0,169.0,-135.0
604499.5,112.0,-140.0
643600.0,98.0,-53.0
649000.0,137.0,-108.0
677400.0,134.0,-112.0
699999.0,148.0,1.0
655000.0,154.0,-99.0
687000.0,150.0,-145.0
679000.0,144.0,-196.0
699000.0,154.0,-55.0
694499.5,184.0,-102.0
695000.0,180.0,-134.0
675000.0,156.0,-81.0
647300.0,118.0,-48.0
650000.0,122.0,-90.0
674957.1428571428,126.0,-30.0
662450.0,129.0,-126.0
669950.0,142.0,-64.0
695000.0,162.0,-73.0
685000.0,172.0,-217.0
666528.5714285715,184.0,-206.0
686978.5714285714,207.0,-126.0
679450.0,215.0,-79.0
685000.0,191.0,-79.0
669995.0,148.0,-93.0
677425.0,137.0,-62.0
649900.0,123.0,-115.0
649949.5,126.0,-204.0
692612.5,140.0,-333.0
724900.0,153.0,-312.0
722450.0,174.0,-303.0
709450.0,181.0,-285.0
670000.0,172.0,-446.0
666350.0,186.0,-258.0
649900.0,213.0,-365.0
649900.0,213.0,-323.0
667450.0,180.0,-242.0
659900.0,159.0,-251.0
646500.0,150.0,-207.0
649250.0,161.0,-202.0
649900.0,179.0,-141.0
649900.0,188.0,-150.0
629900.0,215.0,-207.0
635000.0,208.0,-152.0
649949.5,219.0,-50.0
667400.0,245.0,-29.0
650000.0,259.0,-19.0
650000.0,239.0,-62.0
654950.0,188.0,-85.0
739500.0,48.0,34.0
669900.0,48.0,14.0
649000.0,63.0,59.0
625000.0,74.0,52.0
674450.0,73.0,48.0
649900.0,78.0,83.0
749700.0,82.0,79.0
749500.0,74.0,-17.0
749500.0,87.0,75.0
