countyfips,countyname,cityid,cityname,czname,statename,statefips,stateabbrev,county_pop2019,ZIP,USPS_ZIP_PREF_CITY,RES_RATIO_x,BUS_RATIO_x,OTH_RATIO,TOT_RATIO_x,TOT_RATIO_y,RES_RATIO_y,BUS_RATIO_y,nearest_city,distance
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,6390,FISHERS ISLAND,0.0,1.0,1.0,1.0,1.0,0.0,1.0,New York City,182.28319431696025
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11701,AMITYVILLE,0.9948111847794754,1.0,1.0,0.9956437560503388,0.9956437560503388,0.9948111847794754,1.0,New York City,50.64336775800184
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11702,BABYLON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,63.361279689625725
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11703,NORTH BABYLON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,57.74503267842444
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11704,WEST BABYLON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,54.907552902548744
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11705,BAYPORT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,80.5322927526202
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11706,BAY SHORE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,63.843882516390806
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11713,BELLPORT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,90.14996036450718
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11715,BLUE POINT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,82.23577370663457
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11716,BOHEMIA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,74.05229142730234
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11717,BRENTWOOD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,64.31729749561897
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11718,BRIGHTWATERS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,63.04972684765357
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11719,BROOKHAVEN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,92.77793034589016
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11720,CENTEREACH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,80.07319854191397
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11721,CENTERPORT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,57.81197382921636
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11722,CENTRAL ISLIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,69.09995509381133
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11724,COLD SPRING HARBOR,0.9963846710050615,0.9906103286384976,0.9649122807017544,0.9945553539019963,0.9945553539019963,0.9963846710050615,0.9906103286384976,New York City,49.6324695533034
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11725,COMMACK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,63.0526599117047
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11726,COPIAGUE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,51.87126717428038
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11727,CORAM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,86.76188315174134
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11729,DEER PARK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,57.93649305707089
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11730,EAST ISLIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,70.73890449498266
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11731,EAST NORTHPORT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,60.730089687921684
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11733,EAST SETAUKET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,79.66639558847321
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11738,FARMINGVILLE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,83.01338129409487
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11739,GREAT RIVER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,71.57613549998197
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11740,GREENLAWN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,57.246240681393495
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11741,HOLBROOK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,79.66309528572305
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11742,HOLTSVILLE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,82.28226959642606
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11743,HUNTINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,52.964848437102084
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11746,HUNTINGTON STATION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,55.736004008177424
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11747,MELVILLE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,51.30573731336476
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11749,ISLANDIA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,71.4443428142257
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11751,ISLIP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,67.0859367067309
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11752,ISLIP TERRACE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,70.58885036835761
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11754,KINGS PARK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,66.85245128582332
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11755,LAKE GROVE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,76.92539635800792
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11757,LINDENHURST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,53.689063468989865
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11763,MEDFORD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,87.31155512335198
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11764,MILLER PLACE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,90.55963540551019
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11766,MOUNT SINAI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,87.16523855670408
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11767,NESCONSET,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,74.25644773555875
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11768,NORTHPORT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,61.19690656070624
36103.0,Suffolk,,,New York City,New York,36.0,NY,1476601.0,11769,OAKDALE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,New York City,74.58277848327252
