zips,date,median_listing_price,active_listing_count,year,month,yearmonth,netinflow,countyfips,countyname,cityid,cityname,czname,statename,statefips,stateabbrev,county_pop2019,ZIP,USPS_ZIP_PREF_CITY,RES_RATIO_x,BUS_RATIO_x,OTH_RATIO,TOT_RATIO_x,TOT_RATIO_y,RES_RATIO_y,BUS_RATIO_y,nearest_city,distance
20001,2016-07-01,699000.0,84.0,2016,07,201607,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2016-08-01,697000.0,63.0,2016,08,201608,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2016-09-01,697450.0,74.0,2016,09,201609,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2016-10-01,729900.0,87.0,2016,10,201610,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2016-11-01,725000.0,95.0,2016,11,201611,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2016-12-01,729900.0,85.0,2016,12,201612,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-01-01,744975.0,74.0,2017,01,201701,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-02-01,782450.0,74.0,2017,02,201702,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-03-01,794450.0,83.0,2017,03,201703,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-04-01,848000.0,90.0,2017,04,201704,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-05-01,754450.0,102.0,2017,05,201705,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-06-01,744000.0,118.0,2017,06,201706,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-07-01,749000.0,117.0,2017,07,201707,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-08-01,749000.0,96.0,2017,08,201708,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-09-01,789900.0,125.0,2017,09,201709,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-10-01,727000.0,129.0,2017,10,201710,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-11-01,739450.0,138.0,2017,11,201711,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2017-12-01,775000.0,102.0,2017,12,201712,,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-01-01,730000.0,81.0,2018,01,201801,-61.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-02-01,779000.0,89.0,2018,02,201802,-138.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-03-01,729000.0,103.0,2018,03,201803,-163.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-04-01,717000.0,117.0,2018,04,201804,-94.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-05-01,754950.0,125.0,2018,05,201805,-131.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-06-01,749000.0,134.0,2018,06,201806,-213.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-07-01,749950.0,121.0,2018,07,201807,-240.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-08-01,755000.0,107.0,2018,08,201808,-56.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-09-01,750000.0,135.0,2018,09,201809,-100.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-10-01,749499.5,167.0,2018,10,201810,-60.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-11-01,749499.5,166.0,2018,11,201811,-108.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2018-12-01,774900.0,108.0,2018,12,201812,-139.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-01-01,789450.0,94.0,2019,01,201901,-32.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-02-01,799000.0,99.0,2019,02,201902,-86.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-03-01,772814.2857142857,104.0,2019,03,201903,-138.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-04-01,752764.2857142857,108.0,2019,04,201904,-125.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-05-01,749900.0,114.0,2019,05,201905,-162.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-06-01,749900.0,125.0,2019,06,201906,-150.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-07-01,816950.0,111.0,2019,07,201907,-244.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-08-01,792856.7142857143,119.0,2019,08,201908,-253.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-09-01,755356.2142857143,132.0,2019,09,201909,-258.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-10-01,784950.0,132.0,2019,10,201910,-177.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-11-01,759900.0,149.0,2019,11,201911,-109.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
20001,2019-12-01,799900.0,116.0,2019,12,201912,-100.0,11001.0,District Of Columbia,29.0,Washington,Washington DC,District Of Columbia,11.0,DC,705749.0,20001.0,WASHINGTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Washington DC,1.925367991239173
