countyfips,date,commercial,new_case_count
11001,2020-02-24,-221.5,0.0
11001,2020-02-25,-193.0,0.0
11001,2020-02-26,164.0,0.0
11001,2020-02-27,-128.5,0.0
11001,2020-02-28,-28.5,0.0
11001,2020-02-29,-114.0,0.0
11001,2020-03-01,-121.5,0.0
11001,2020-03-02,-71.5,0.0
11001,2020-03-03,28.5,0.0
11001,2020-03-04,-29.0,0.0
11001,2020-03-05,492.5,0.0
11001,2020-03-06,359.0,0.0
11001,2020-03-07,74.0,0.0
11001,2020-03-08,407.5,0.0
11001,2020-03-09,500.0,2.0
11001,2020-03-10,478.5,1.0
11001,2020-03-11,364.0,2.0
11001,2020-03-12,3.5,2.0
11001,2020-03-13,315.0,2.0
11001,2020-03-14,171.5,2.0
11001,2020-03-15,-242.5,2.0
11001,2020-03-16,-5.5,3.0
11001,2020-03-17,28.5,4.0
11001,2020-03-18,75.0,4.0
11001,2020-03-19,-305.0,4.0
11001,2020-03-20,-503.5,9.0
11001,2020-03-21,-662.5,9.0
11001,2020-03-22,-293.5,12.0
11001,2020-03-23,-335.5,13.0
11001,2020-03-24,-359.5,15.0
11001,2020-03-25,-384.0,21.0
11001,2020-03-26,-402.5,27.0
11001,2020-03-27,-421.0,28.0
11001,2020-03-28,-141.0,32.0
11001,2020-03-29,-445.0,35.0
11001,2020-03-30,-439.5,41.0
11001,2020-03-31,-449.0,51.0
11001,2020-04-01,-317.5,58.0
11001,2020-04-02,-449.0,60.0
11001,2020-04-03,-449.5,70.0
11001,2020-04-04,-446.0,85.0
11001,2020-04-05,-450.0,94.0
11001,2020-04-06,-457.5,99.0
11001,2020-04-07,-460.0,102.0
11001,2020-04-08,-466.5,122.0
11001,2020-04-09,-472.5,124.0
11001,2020-04-10,-482.5,129.0
11001,2020-04-11,-484.0,125.0
11001,2020-04-12,-202.0,125.0
11001,2020-04-13,-50.5,123.0
11001,2020-04-14,-502.5,121.0
11001,2020-04-15,-500.0,108.0
11001,2020-04-16,-498.0,118.0
11001,2020-04-17,-496.0,117.0
11001,2020-04-18,-345.5,127.0
11001,2020-04-19,-197.0,131.0
11001,2020-04-20,-481.0,139.0
11001,2020-04-21,-482.5,149.0
11001,2020-04-22,-484.0,144.0
11001,2020-04-23,-487.5,144.0
11001,2020-04-24,-489.0,150.0
11001,2020-04-25,-485.5,148.0
11001,2020-04-26,-491.5,150.0
11001,2020-04-27,-491.5,138.0
11001,2020-04-28,-490.0,128.0
11001,2020-04-29,-484.0,129.0
11001,2020-04-30,-487.0,137.0
11001,2020-05-01,-475.0,161.0
11001,2020-05-02,-463.5,157.0
11001,2020-05-03,-454.0,168.0
11001,2020-05-04,-443.5,183.0
11001,2020-05-05,-435.0,190.0
11001,2020-05-06,-441.5,194.0
11001,2020-05-07,-423.5,190.0
11001,2020-05-08,-429.0,177.0
11001,2020-05-09,-430.5,186.0
11001,2020-05-10,-422.5,179.0
11001,2020-05-11,-431.5,174.0
11001,2020-05-12,-160.0,166.0
11001,2020-05-13,-426.0,160.0
11001,2020-05-14,-431.0,155.0
11001,2020-05-15,-312.0,139.0
11001,2020-05-16,-424.5,134.0
11001,2020-05-17,-135.0,122.0
11001,2020-05-18,-428.5,126.0
11001,2020-05-19,-309.5,136.0
11001,2020-05-20,-428.5,138.0
11001,2020-05-21,-309.5,150.0
11001,2020-05-22,-431.5,146.0
11001,2020-05-23,-310.0,132.0
11001,2020-05-24,-157.5,141.0
11001,2020-05-25,-425.5,136.0
11001,2020-05-26,-156.5,129.0
11001,2020-05-27,-421.0,122.0
11001,2020-05-28,-421.5,101.0
11001,2020-05-29,-415.0,92.0
11001,2020-05-30,-411.5,107.0
11001,2020-05-31,-404.0,99.0
11001,2020-06-01,-40.0,90.0
11001,2020-06-02,-398.5,79.0
11001,2020-06-03,-390.0,87.0
11001,2020-06-04,-385.0,90.0
11001,2020-06-05,-385.0,94.0
11001,2020-06-06,-380.5,79.0
11001,2020-06-07,-374.5,76.0
11001,2020-06-08,-366.0,76.0
11001,2020-06-09,-359.0,84.0
11001,2020-06-10,-360.5,74.0
11001,2020-06-11,-360.0,67.0
11001,2020-06-12,-352.0,65.0
11001,2020-06-13,-353.5,63.0
11001,2020-06-14,-356.0,62.0
11001,2020-06-15,-357.5,59.0
11001,2020-06-16,-355.5,49.0
11001,2020-06-17,-362.0,44.0
11001,2020-06-18,-358.5,45.0
11001,2020-06-19,-124.5,43.0
11001,2020-06-20,-365.0,39.0
11001,2020-06-21,-364.0,36.0
11001,2020-06-22,-274.0,37.0
11001,2020-06-23,-272.5,39.0
11001,2020-06-24,-356.0,40.0
11001,2020-06-25,-256.5,37.0
11001,2020-06-26,-125.0,33.0
11001,2020-06-27,-350.5,33.0
11001,2020-06-28,-352.5,33.0
11001,2020-06-29,-346.5,33.0
11001,2020-06-30,-344.0,33.0
11001,2020-07-01,-339.0,34.0
11001,2020-07-02,-325.5,33.0
11001,2020-07-03,-324.0,36.0
11001,2020-07-04,-327.5,33.0
11001,2020-07-05,-115.5,33.0
11001,2020-07-06,-329.0,32.0
11001,2020-07-07,-332.5,35.0
11001,2020-07-08,-337.5,40.0
11001,2020-07-09,-346.5,41.0
11001,2020-07-10,-348.0,44.0
11001,2020-07-11,-344.0,51.0
11001,2020-07-12,-343.5,52.0
11001,2020-07-13,-340.0,56.0
11001,2020-07-14,-336.5,54.0
11001,2020-07-15,-337.5,55.0
11001,2020-07-16,-337.5,57.0
11001,2020-07-17,-336.0,53.0
11001,2020-07-18,-336.0,56.0
11001,2020-07-19,-337.5,59.0
11001,2020-07-20,-342.5,62.0
11001,2020-07-21,-345.0,69.0
11001,2020-07-22,-355.0,72.0
11001,2020-07-23,-354.0,71.0
11001,2020-07-24,-357.0,76.0
11001,2020-07-25,-356.5,75.0
11001,2020-07-26,-355.0,74.0
11001,2020-07-27,-352.5,74.0
11001,2020-07-28,-353.0,74.0
11001,2020-07-29,-343.5,67.0
11001,2020-07-30,-347.0,69.0
11001,2020-07-31,-348.0,68.0
11001,2020-08-01,-252.0,70.0
11001,2020-08-02,-344.0,71.0
11001,2020-08-03,-345.0,65.0
11001,2020-08-04,-351.5,65.0
11001,2020-08-05,-348.0,63.0
11001,2020-08-06,-347.0,66.0
11001,2020-08-07,-34.5,66.0
11001,2020-08-08,-131.0,64.0
11001,2020-08-09,-132.5,68.0
11001,2020-08-10,-348.0,71.0
11001,2020-08-11,-246.0,71.0
11001,2020-08-12,-133.5,74.0
11001,2020-08-13,-353.5,72.0
11001,2020-08-14,-353.5,76.0
11001,2020-08-15,-356.0,72.0
11001,2020-08-16,-360.0,67.0
11001,2020-08-17,-361.5,67.0
11001,2020-08-18,-360.0,61.0
