countyfips,date,mobility,yoy_change,year,month,yearmonth,day,Date
11001,2020-02-24 00:00:00,-221.5,,2020,02,2020-02,24,2020-02-24
24009,2020-02-24 00:00:00,-119.5,,2020,02,2020-02,24,2020-02-24
24017,2020-02-24 00:00:00,214.0,,2020,02,2020-02,24,2020-02-24
24021,2020-02-24 00:00:00,143.0,,2020,02,2020-02,24,2020-02-24
24031,2020-02-24 00:00:00,-21.5,,2020,02,2020-02,24,2020-02-24
24033,2020-02-24 00:00:00,-228.5,,2020,02,2020-02,24,2020-02-24
24037,2020-02-24 00:00:00,335.5,,2020,02,2020-02,24,2020-02-24
51013,2020-02-24 00:00:00,571.5,,2020,02,2020-02,24,2020-02-24
51059,2020-02-24 00:00:00,643.0,,2020,02,2020-02,24,2020-02-24
51061,2020-02-24 00:00:00,296.0,,2020,02,2020-02,24,2020-02-24
51107,2020-02-24 00:00:00,119.0,,2020,02,2020-02,24,2020-02-24
51153,2020-02-24 00:00:00,221.5,,2020,02,2020-02,24,2020-02-24
51187,2020-02-24 00:00:00,267.0,,2020,02,2020-02,24,2020-02-24
51510,2020-02-24 00:00:00,-228.5,,2020,02,2020-02,24,2020-02-24
51610,2020-02-24 00:00:00,-485.5,,2020,02,2020-02,24,2020-02-24
51683,2020-02-24 00:00:00,364.0,,2020,02,2020-02,24,2020-02-24
11001,2020-02-25 00:00:00,-193.0,,2020,02,2020-02,25,2020-02-25
24009,2020-02-25 00:00:00,78.5,,2020,02,2020-02,25,2020-02-25
24017,2020-02-25 00:00:00,200.0,,2020,02,2020-02,25,2020-02-25
24021,2020-02-25 00:00:00,164.0,,2020,02,2020-02,25,2020-02-25
24031,2020-02-25 00:00:00,-2.0,,2020,02,2020-02,25,2020-02-25
24033,2020-02-25 00:00:00,57.0,,2020,02,2020-02,25,2020-02-25
24037,2020-02-25 00:00:00,336.0,,2020,02,2020-02,25,2020-02-25
51013,2020-02-25 00:00:00,357.5,,2020,02,2020-02,25,2020-02-25
51059,2020-02-25 00:00:00,357.0,,2020,02,2020-02,25,2020-02-25
51061,2020-02-25 00:00:00,364.5,,2020,02,2020-02,25,2020-02-25
51107,2020-02-25 00:00:00,122.0,,2020,02,2020-02,25,2020-02-25
51153,2020-02-25 00:00:00,-121.5,,2020,02,2020-02,25,2020-02-25
51187,2020-02-25 00:00:00,500.0,,2020,02,2020-02,25,2020-02-25
51510,2020-02-25 00:00:00,143.0,,2020,02,2020-02,25,2020-02-25
51610,2020-02-25 00:00:00,-450.0,,2020,02,2020-02,25,2020-02-25
51683,2020-02-25 00:00:00,178.5,,2020,02,2020-02,25,2020-02-25
11001,2020-02-26 00:00:00,164.0,,2020,02,2020-02,26,2020-02-26
24009,2020-02-26 00:00:00,64.5,,2020,02,2020-02,26,2020-02-26
24017,2020-02-26 00:00:00,257.0,,2020,02,2020-02,26,2020-02-26
24021,2020-02-26 00:00:00,72.5,,2020,02,2020-02,26,2020-02-26
