countyfips,date,revenue_all,yoy_change,year,month,yearmonth,day,Date
11001,2020-01-11 00:00:00,0.0302,,2020,01,2020-01,11,2020-01-11
24009,2020-01-11 00:00:00,0.0136,,2020,01,2020-01,11,2020-01-11
24017,2020-01-11 00:00:00,0.081,,2020,01,2020-01,11,2020-01-11
24021,2020-01-11 00:00:00,-0.0298,,2020,01,2020-01,11,2020-01-11
24031,2020-01-11 00:00:00,-0.0524,,2020,01,2020-01,11,2020-01-11
24033,2020-01-11 00:00:00,-0.0701,,2020,01,2020-01,11,2020-01-11
24037,2020-01-11 00:00:00,-0.0487,,2020,01,2020-01,11,2020-01-11
51013,2020-01-11 00:00:00,0.317,,2020,01,2020-01,11,2020-01-11
51059,2020-01-11 00:00:00,-0.0050100000000000006,,2020,01,2020-01,11,2020-01-11
51061,2020-01-11 00:00:00,-0.0615,,2020,01,2020-01,11,2020-01-11
51107,2020-01-11 00:00:00,-0.0483,,2020,01,2020-01,11,2020-01-11
51153,2020-01-11 00:00:00,-0.0407,,2020,01,2020-01,11,2020-01-11
51187,2020-01-11 00:00:00,0.0464,,2020,01,2020-01,11,2020-01-11
51510,2020-01-11 00:00:00,0.147,,2020,01,2020-01,11,2020-01-11
51610,2020-01-11 00:00:00,-0.0736,,2020,01,2020-01,11,2020-01-11
51683,2020-01-11 00:00:00,-0.305,,2020,01,2020-01,11,2020-01-11
11001,2020-01-18 00:00:00,0.0518,,2020,01,2020-01,18,2020-01-18
24009,2020-01-18 00:00:00,0.0502,,2020,01,2020-01,18,2020-01-18
24017,2020-01-18 00:00:00,-0.0426,,2020,01,2020-01,18,2020-01-18
24021,2020-01-18 00:00:00,-0.172,,2020,01,2020-01,18,2020-01-18
24031,2020-01-18 00:00:00,0.0941,,2020,01,2020-01,18,2020-01-18
24033,2020-01-18 00:00:00,0.0132,,2020,01,2020-01,18,2020-01-18
24037,2020-01-18 00:00:00,-0.0179,,2020,01,2020-01,18,2020-01-18
51013,2020-01-18 00:00:00,-0.107,,2020,01,2020-01,18,2020-01-18
51059,2020-01-18 00:00:00,0.055,,2020,01,2020-01,18,2020-01-18
51061,2020-01-18 00:00:00,0.0819,,2020,01,2020-01,18,2020-01-18
51107,2020-01-18 00:00:00,-0.0476,,2020,01,2020-01,18,2020-01-18
51153,2020-01-18 00:00:00,0.0375,,2020,01,2020-01,18,2020-01-18
51187,2020-01-18 00:00:00,-0.0063,,2020,01,2020-01,18,2020-01-18
51510,2020-01-18 00:00:00,0.0865,,2020,01,2020-01,18,2020-01-18
51610,2020-01-18 00:00:00,0.0453,,2020,01,2020-01,18,2020-01-18
51683,2020-01-18 00:00:00,0.327,,2020,01,2020-01,18,2020-01-18
11001,2020-01-25 00:00:00,-0.0529,,2020,01,2020-01,25,2020-01-25
24009,2020-01-25 00:00:00,-0.0648,,2020,01,2020-01,25,2020-01-25
24017,2020-01-25 00:00:00,-0.0516,,2020,01,2020-01,25,2020-01-25
24021,2020-01-25 00:00:00,0.0803,,2020,01,2020-01,25,2020-01-25
24031,2020-01-25 00:00:00,0.000102,,2020,01,2020-01,25,2020-01-25
24033,2020-01-25 00:00:00,0.0083,,2020,01,2020-01,25,2020-01-25
24037,2020-01-25 00:00:00,-0.0729,,2020,01,2020-01,25,2020-01-25
51013,2020-01-25 00:00:00,-0.277,,2020,01,2020-01,25,2020-01-25
51059,2020-01-25 00:00:00,-0.0401,,2020,01,2020-01,25,2020-01-25
51061,2020-01-25 00:00:00,-0.0408,,2020,01,2020-01,25,2020-01-25
51107,2020-01-25 00:00:00,0.0215,,2020,01,2020-01,25,2020-01-25
51153,2020-01-25 00:00:00,0.0852,,2020,01,2020-01,25,2020-01-25
51187,2020-01-25 00:00:00,-0.151,,2020,01,2020-01,25,2020-01-25
51510,2020-01-25 00:00:00,-0.237,,2020,01,2020-01,25,2020-01-25
51610,2020-01-25 00:00:00,-0.0768,,2020,01,2020-01,25,2020-01-25
51683,2020-01-25 00:00:00,-0.0568,,2020,01,2020-01,25,2020-01-25
11001,2020-02-01 00:00:00,-0.0164,,2020,02,2020-02,01,2020-02-01
24009,2020-02-01 00:00:00,-0.0107,,2020,02,2020-02,01,2020-02-01
