,zipcode,CTFIPS,stateabbrev,change_price,median_listing_price,active_listing_count,netinflow
911,22312,51059,VA,0.5416567495914405,559326.9427739271,62.056650029206544,-59.13370104840766
891,22307,51059,VA,0.47437195709550223,466367.547977574,19.26733990009131,49.60929105725211
132,20117,51107,VA,0.3959824071678699,1957184.6003465385,16.703319071400735,7.516736264855336
464,20770,24033,MD,0.2913586862880722,249421.68130894305,17.80615953672645,-20.855024337656825
683,21788,24021,MD,0.27659361592821363,446624.80776484526,11.958870390431168,6.0624505076054405
318,20640,24017,MD,0.24996265374798163,408336.73201041104,4.450540848908605,27.99322699638564
831,22202,51013,VA,0.24965884959687293,666309.0944059383,31.85520026861364,-67.87927203325965
668,21769,24021,MD,0.24708145786433452,577818.4129862136,13.132555839197094,38.338413125299546
601,20895,24031,MD,0.24019875691407602,895525.1653364563,16.272856766914238,-3.147344906228252
636,20912,24031,MD,0.2114197238714838,438992.98120340146,21.585870688265725,3.9306931314554117
626,20906,24031,MD,0.2052292739558308,375572.9820563342,91.84954318153791,-10.944772863999603
553,20866,24031,MD,0.20273436308812653,493786.95214435627,12.878805982497964,-60.27566396188866
73,20019,11001,DC,0.17523089449794357,509209.29533760337,73.0286334237402,-146.49216652031507
881,22304,51510,VA,0.17231429331153977,350655.24096938595,107.12189770602605,-50.77771809812063
395,20720,24033,MD,0.17182252470118,564930.9878561936,20.39654538915484,-22.000699799909857
659,21716,24021,MD,0.1575941209064954,472792.21466815675,22.356056224951743,-9.127186503364621
78,20020,11001,DC,0.1542651678873718,480796.8446863501,61.62185612401231,-84.08487409630446
576,20877,24031,MD,0.15420638615295204,476247.3638212147,26.000645154948003,-146.87729339480913
673,21770,24021,MD,0.15341147755120202,596931.7174605187,4.706692528663482,53.22359953930123
24,20007,11001,DC,0.1484538711416719,1337587.7199204005,101.31763332535225,-83.33724512052041
