countyfips,date,new_case_count
11001,2/6/21,194.1428571
11001,2/13/21,157.1428571
11001,2/20/21,117.2857143
11001,2/27/21,112.8571429
11001,3/6/21,126.7142857
11001,3/13/21,152.7142857
11001,3/20/21,122.7142857
11001,3/27/21,111.5714286
11001,4/3/21,132.7142857
11001,4/10/21,119.4285714
11001,4/17/21,116.2857143
11001,4/24/21,108.5714286
11001,5/1/21,85.71428571
11001,5/8/21,68.57142857
11001,5/15/21,44.42857143
11001,5/22/21,43.14285714
11001,5/29/21,26.85714286
11001,6/5/21,24.42857143
11001,6/12/21,18.57142857
11001,6/19/21,12.28571429
11001,6/26/21,9.571428571
11001,7/3/21,9.285714286
11001,7/10/21,10.57142857
11001,7/17/21,21.85714286
11001,7/24/21,40.85714286
11001,7/31/21,54.85714286
11001,8/7/21,87
11001,8/14/21,137.2857143
11001,8/21/21,159.8571429
11001,8/28/21,171.2857143
11001,9/4/21,193.1428571
11001,9/11/21,153.8571429
11001,9/18/21,240.4285714
11001,9/25/21,218.8571429
11001,10/2/21,169
11001,10/9/21,141.1428571
11001,10/16/21,106
11001,10/23/21,99.57142857
11001,10/30/21,87.42857143
11001,11/6/21,85.57142857
11001,11/13/21,78.57142857
11001,11/20/21,90.71428571
11001,11/27/21,90
11001,12/4/21,92
11001,12/11/21,170.1428571
11001,12/18/21,243.8571429
11001,12/25/21,1001.285714
11001,1/1/22,1942.285714
11001,1/8/22,2131
11001,1/15/22,2251
11001,1/22/22,2205.98
11001,1/29/22,2160.96
11001,2/5/22,2115.94
11001,2/12/22,2070.92
11001,2/19/22,2025.9
11001,2/26/22,1980.88
11001,3/5/22,1935.86
11001,3/12/22,1890.84
11001,3/19/22,1845.82
11001,3/26/22,1800.8
11001,4/2/22,1755.78
11001,4/9/22,1710.76
11001,4/16/22,1665.74
11001,4/23/22,1620.72
11001,4/30/22,1575.7
11001,5/7/22,1530.68
11001,5/14/22,1485.66
11001,5/21/22,1440.64
11001,5/28/22,1395.62
11001,6/4/22,1350.6
11001,6/11/22,1305.58
11001,6/18/22,1260.56
11001,6/25/22,1215.54
11001,7/2/22,1170.52
11001,7/9/22,1125.5
11001,7/16/22,1080.48
11001,7/23/22,1035.46
11001,7/30/22,990.44
11001,8/6/22,945.42
11001,8/13/22,900.4
11001,8/20/22,855.38
11001,8/27/22,810.36
11001,9/3/22,765.34
11001,9/10/22,720.32
11001,9/17/22,675.3
11001,9/24/22,630.28
11001,10/1/22,585.26
11001,10/8/22,540.24
11001,10/15/22,495.22
11001,10/22/22,450.2
11001,10/29/22,405.18
11001,11/5/22,360.16
11001,11/12/22,315.14
11001,11/19/22,270.12
11001,11/26/22,225.1
11001,12/3/22,180.08
11001,12/10/22,135.06
11001,12/17/22,90.04
11001,12/24/22,45.02
11001,12/31/22,0
24009,2/6/21,19.14285714
24009,2/13/21,12.28571429
24009,2/20/21,7.714285714
24009,2/27/21,5.285714286
24009,3/6/21,6
24009,3/13/21,7.428571429
24009,3/20/21,7.571428571
24009,3/27/21,9.857142857
24009,4/3/21,9.571428571
24009,4/10/21,7.285714286
24009,4/17/21,7.857142857
24009,4/24/21,9.285714286
24009,5/1/21,7.857142857
24009,5/8/21,4.142857143
24009,5/15/21,2.428571429
24009,5/22/21,1.857142857
24009,5/29/21,2
24009,6/5/21,1
24009,6/12/21,1
24009,6/19/21,1
24009,6/26/21,0.714285714
24009,7/3/21,0
24009,7/10/21,0.142857143
24009,7/17/21,1
24009,7/24/21,1.857142857
24009,7/31/21,5
24009,8/7/21,6.857142857
24009,8/14/21,8.857142857
24009,8/21/21,11.57142857
24009,8/28/21,12.85714286
24009,9/4/21,17.42857143
24009,9/11/21,10
24009,9/18/21,14.42857143
24009,9/25/21,21.28571429
24009,10/2/21,22.57142857
24009,10/9/21,24.42857143
24009,10/16/21,20.28571429
24009,10/23/21,14.71428571
24009,10/30/21,12
24009,11/6/21,10.57142857
24009,11/13/21,9.571428571
24009,11/20/21,9.714285714
24009,11/27/21,6.428571429
24009,12/4/21,12.57142857
24009,12/11/21,10.14285714
24009,12/18/21,0
24009,12/25/21,0
24009,1/1/22,115
24009,1/8/22,185.5714286
24009,1/15/22,117
24009,1/22/22,114.66
24009,1/29/22,112.32
24009,2/5/22,109.98
24009,2/12/22,107.64
24009,2/19/22,105.3
24009,2/26/22,102.96
24009,3/5/22,100.62
24009,3/12/22,98.28
24009,3/19/22,95.94
24009,3/26/22,93.6
24009,4/2/22,91.26
24009,4/9/22,88.92
24009,4/16/22,86.58
24009,4/23/22,84.24
24009,4/30/22,81.9
24009,5/7/22,79.56
24009,5/14/22,77.22
24009,5/21/22,74.88
24009,5/28/22,72.54
24009,6/4/22,70.2
24009,6/11/22,67.86
24009,6/18/22,65.52
24009,6/25/22,63.18
24009,7/2/22,60.84
24009,7/9/22,58.5
24009,7/16/22,56.16
24009,7/23/22,53.82
24009,7/30/22,51.48
24009,8/6/22,49.14
24009,8/13/22,46.8
24009,8/20/22,44.46
24009,8/27/22,42.12
24009,9/3/22,39.78
24009,9/10/22,37.44
24009,9/17/22,35.1
24009,9/24/22,32.76
24009,10/1/22,30.42
24009,10/8/22,28.08
24009,10/15/22,25.74
24009,10/22/22,23.4
24009,10/29/22,21.06
24009,11/5/22,18.72
24009,11/12/22,16.38
24009,11/19/22,14.04
24009,11/26/22,11.7
24009,12/3/22,9.36
24009,12/10/22,7.02
24009,12/17/22,4.68
24009,12/24/22,2.34
24009,12/31/22,0
24017,2/6/21,51.14285714
24017,2/13/21,40.85714286
24017,2/20/21,29
24017,2/27/21,25
24017,3/6/21,23.71428571
24017,3/13/21,24.71428571
24017,3/20/21,27
24017,3/27/21,27.71428571
24017,4/3/21,29.28571429
24017,4/10/21,30.42857143
24017,4/17/21,29.57142857
24017,4/24/21,25
24017,5/1/21,21.28571429
24017,5/8/21,18.71428571
24017,5/15/21,11.14285714
24017,5/22/21,8.142857143
24017,5/29/21,10.71428571
24017,6/5/21,7.428571429
24017,6/12/21,4.428571429
24017,6/19/21,5
24017,6/26/21,2.571428571
24017,7/3/21,1.285714286
24017,7/10/21,2
24017,7/17/21,3.142857143
24017,7/24/21,6.571428571
24017,7/31/21,11.57142857
24017,8/7/21,21.71428571
24017,8/14/21,35.28571429
24017,8/21/21,40
24017,8/28/21,43.85714286
24017,9/4/21,54.57142857
24017,9/11/21,44.57142857
24017,9/18/21,46.71428571
24017,9/25/21,43.28571429
24017,10/2/21,36
24017,10/9/21,36.57142857
24017,10/16/21,28.14285714
24017,10/23/21,24.71428571
24017,10/30/21,21.42857143
24017,11/6/21,14.85714286
24017,11/13/21,15
24017,11/20/21,11.14285714
24017,11/27/21,15.85714286
24017,12/4/21,17.71428571
